TAZID,C_TOTHH,C_HHPOP,C_TOTEMP,C_RETL,C_FOOD,C_MANU,C_WSLE,C_OFFI,C_GVED,C_HLTH,C_OTHR,C_FM_AGRI,C_FM_MING,C_FM_CONS,C_HBJ,F_TOTHH,F_HHPOP,F_TOTEMP,F_RETL,F_FOOD,F_MANU,F_WSLE,F_OFFI,F_GVED,F_HLTH,F_OTHR,F_FM_AGRI,F_FM_MING,F_FM_CONS,F_HBJ,T_TOTHH,T_HHPOP,T_TOTEMP,T_RETL,T_FOOD,T_MANU,T_WSLE,T_OFFI,T_GVED,T_HLTH,T_OTHR,T_FM_AGRI,T_FM_MING,T_FM_CONS,T_HBJ
1443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,172,133,63,20,0,0,12,13,4,22,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,24,0,4,0,0,2,3,1,14,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,55,39,1,6,2,2,3,7,0,18,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,5,4,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,13,10,5,1,0,0,1,0,2,2,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,1,6,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,3,2,1,0,6,5,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
